"","163_PRE","109_PRE","97_PRE","97_SURG","109_SURG","163_SURG"
"FCER2",8.17318158138003,5.56014868232235,5.79566562516907,7.2730502878298,8.56491550426813,9.18390082772112
"CXCL13",11.21215182365,8.66863707851559,8.63953680123896,10.0504659538114,11.6315644741638,12.8386619467489
"CCL19",11.3747366824939,8.10852582496971,7.93513231061857,9.53920143122328,11.6428927513594,13.0543027671451
"BCL11A",7.66971987953213,6.27468179083781,6.09366504243655,7.42953151653215,8.07433989268209,8.93791469678913
"VPREB3",5.80372166240029,4.17146131747388,4.10444550318792,5.61438686127448,6.5506767834177,7.12315808968661
"ARRDC2",8.48319370774777,7.52802202955767,7.59718296508613,8.23311610752282,9.11590658251869,9.67059677752824
"TCL1A",6.28227516454327,3.95601500643796,4.10365334415911,5.53292054870787,7.44444204277888,7.99786748046325
"BLK",9.67353493102144,9.00942508278827,7.89553903079581,10.3080179849743,10.1281269961768,10.7644425321905
"DES",8.28745396011007,7.24151189921317,6.36461704803763,8.11896734914424,8.81058230159676,10.2400437709058
"SCML4",8.83067954287589,7.96589736068315,7.60717166603197,8.54069665418631,8.85122489970891,9.88812851262796
"CNR2",4.87131454160029,3.71323677377117,3.38635478344897,5.26365276199476,5.36208601312649,6.41551657143687
"IL7R",11.002003491872,9.30165047748268,9.37875820292376,11.3352338086632,11.8371964156635,12.9022410051781
"CXCR4",13.4551066036982,12.3129508536707,12.1215740409602,13.5409103657211,14.1177927508408,14.7802260110931
"SAA1",5.31945764046286,5.30030403368058,5.43725920522441,6.77133377156591,7.72440728065991,10.2570621077093
"CA3",4.70206865983074,4.10795110312093,4.14503213026869,4.96878797433207,5.63348263690785,6.41983848825779
"TMEM132C",4.14461328990199,3.47529375800916,3.7335070581296,4.28429762506412,5.47395847763318,6.19703936492243
"HMCN2",7.74270444238711,7.04201551671757,6.95306810732057,8.23151597460456,9.28503335807749,8.98447021920155
"ALOX15B",8.20170480652829,6.57230560746702,6.34507736535588,8.04059001138383,10.2069298188678,10.0512757734228
"ADCY5",7.27519616009205,6.52749164744649,6.63700222445319,7.41622519883246,8.32902133561877,8.49230552106913
"HTR3A",4.75873551177453,3.62269842159859,4.06667220417053,5.38895739880854,6.1808481483367,6.34894945338158
"NFKBIA",13.6126375779006,12.8818441264588,13.1485017466963,13.8639209030888,14.2283216446521,14.2947437584411
"FAM107A",4.6760005646154,4.17287821363016,4.11832923979125,5.36344038501884,5.64333755233155,5.98646816710291
"BACH2",7.75308234607785,7.48491702024352,7.3486506571778,8.17886133029772,8.52122491749901,8.56422341696726
"LGI3",7.39205976442469,8.64208215982545,9.90112971201549,10.8654412841581,10.2746493889345,7.83755828029327
"CRTAC1",8.26047820043509,8.78302087721291,12.5561403592068,13.5165729355772,9.28996016199991,9.22116933113085
"EFHD1",5.83307246397386,6.15391183599371,7.86998809066502,8.85497848632711,7.33386147325314,6.4979209959127
"C16orf89",5.38160375375807,5.80912446145625,7.18301897291159,8.06897099948239,6.98369352770759,6.06687372973292
"SYBU",6.8739380469994,7.41825329966671,8.9590484187846,9.47717165792536,8.75520019927498,8.49514508264526
"DCLK1",9.69384716164795,9.74530326179687,11.1937721788047,12.0130151187895,11.1226497947376,10.6249341949968
"TMTC1",9.78570134702442,9.80373543470723,11.4976933551535,12.0205957217136,10.8694664502185,10.7268226933579
"NTS",5.96488250177418,4.94665745241194,7.210193128211,13.1268914142516,5.70264385594269,7.63191477486759
"COL4A5",8.83878691553191,8.80117489351594,9.6646924315595,11.3466611058002,9.63380667155976,9.77530540430001
"RHOB",9.81146758122981,9.38860041326977,10.125195300924,10.8489804534124,10.1800737789644,10.4780933127289
"PER1",10.0005240516918,9.925626001566,10.910011555577,12.0200621171081,11.3337097602106,11.3969428557433
"CD163L1",9.85052381697989,9.32382109110542,10.530712200824,11.3322461485867,10.9794043388969,10.6766430568819
"SCN4B",8.86631410620168,9.53534457189597,9.94237641547599,10.6663498500734,10.5873736742232,9.9348179069567
"CILP",8.3370219993709,8.71721305376036,9.05411952926137,10.7358264189301,11.303398208412,9.55980561310654
"ACTC1",3.8362618982574,4.2036918709017,4.76229838583674,5.55585755715423,6.23557010801098,5.35639167421138
"MFAP5",7.71896938392937,9.0104265815096,8.45566353974291,9.15884329887738,10.8593746140575,9.34850719275015
"F3",7.88213307003031,8.70097338400727,8.48464086170385,9.94358609321548,11.3670586602736,9.42729281454517
"MXRA5",11.9315620241797,12.5165784956134,12.0072718253918,13.1814336550261,14.332023483683,12.7566363256068
